"Country Name","Country Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Aruba","ABW","6.92","6.9","","","","","","5.71","","","10.6","8.9","","","","","","","","",""
"Africa Eastern and Southern","AFE","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","AFG","","","","","","","","","2.49","","","","1.69","","7.91","","","11.18","","","11.71"
"Africa Western and Central","AFW","","","","","","","","","","","","","","","4.3738096275078","","","7.0956945614696","","",""
"Angola","AGO","","","","","23.64","","","","","3.78","9.43","7.36","","","9.58","","","","","",""
"Albania","ALB","16.8","16.4","15.8","15","14.4","14.1","13.8","15.97","13.06","13.67","14.09","13.48","13.38","15.87","18.05","17.19","15.42","13.62","12.3","11.47",""
"Andorra","AND","","","","","","","","","","","","","","","","","","","","",""
"Arab World","ARB","","","","","","","10.311856609931","9.6647155301387","9.9289987313204","9.5130947102888","9.2282015124694","11.16619223568","10.571152162093","","10.507138122996","","9.5610197800809","","","",""
"United Arab Emirates","ARE","2.25","","","","","3.12","","","","","","","","","","","1.64","2.46","","2.23",""
"Argentina","ARG","15","17.32","19.59","15.36","13.52","11.51","10.08","8.47","7.84","8.65","7.71","7.18","7.22","7.1","7.27","","","8.35","9.22","9.84",""
"Armenia","ARM","","","","","","","","9.81","22.97","18.44","19.01","18.44","17.3","16.18","17.5","18.26","17.62","17.7","18.97","18.3",""
"American Samoa","ASM","5.05","","","","","9.98","","","","","9.2","","","","","","","","","",""
"Antigua and Barbuda","ATG","","8.42","","","","","","","","","","","","","","","","","","",""
"Australia","AUS","6.28","6.74","6.37","5.93","5.39","5.03","4.78","4.38","4.23","5.56","5.21","5.08","5.22","5.66","6.08","6.05","5.71","5.59","5.3","5.16","6.46"
"Austria","AUT","4.69","4.01","4.85","4.78","5.83","5.63","5.24","4.86","4.13","5.3","4.82","4.56","4.87","5.33","5.62","5.72","6.01","5.5","4.85","4.49","5.36"
"Azerbaijan","AZE","11.78","10.91","10.04","9.17","7.99","7.26","6.62","6.33","5.86","5.74","5.63","5.42","5.19","4.97","4.91","4.96","5","5","4.9","4.85",""
"Burundi","BDI","","","","","","","","","1.63","","","","","","1.57","","","","","",""
"Belgium","BEL","6.59","6.18","6.91","7.68","7.36","8.44","8.25","7.46","6.98","7.91","8.29","7.14","7.54","8.43","8.52","8.48","7.83","7.09","5.95","5.36","5.55"
"Benin","BEN","","","0.69","","","","","","","","1.04","2.65","","","","","","","","",""
"Burkina Faso","BFA","","","","2.78","","4","","3.3","","","","","","","6.48","","","","4.69","",""
"Bangladesh","BGD","3.27","","","4.32","","4.25","3.59","","","5","3.38","","","4.43","","","4.35","4.37","","",""
"Bulgaria","BGR","16.22","19.92","18.11","13.73","12.04","10.08","8.95","6.88","5.61","6.82","10.28","11.26","12.27","12.94","11.42","9.14","7.57","6.16","5.21","4.23","5.12"
"Bahrain","BHR","","","","","","","","5.6","3.7","4","1.13","4","1.2","","","","","","","",""
"Bahamas, The","BHS","","6.87","9.05","10.84","10.2","10.2","7.54","7.88","8.18","14.25","","14.52","14.02","16.18","13.8","12","12.7","9.8","10","",""
"Bosnia and Herzegovina","BIH","","","","","","","31.11","28.98","23.41","24.07","27.31","27.58","28.01","27.49","27.52","27.69","25.41","20.53","18.4","15.69","15.87"
"Belarus","BLR","2.1","2.3","3","3.1","1.9","1.5","1.2","1","0.8","6.1","","0.6","0.5","0.5","0.5","1","5.84","5.65","4.76","4.16",""
"Belize","BLZ","","9.07","10.04","","","10.91","9.39","8.51","8.18","","","","","8.35","8.24","7.58","7","6.6","","9.05",""
"Bermuda","BMU","2.71","","","","","","","","","4.48","6.49","","8.44","6.66","8.94","","","","","",""
"Bolivia","BOL","4.47","5.24","5.48","","4.17","5.45","5.08","5.18","2.6","2.97","","2.25","2.07","2.44","2.02","3.11","3.5","3.65","3.52","3.82","7.9"
"Brazil","BRA","","9.61","9.37","9.99","9.11","9.57","8.64","8.33","7.34","8.52","","6.92","7.19","6.98","6.66","8.43","11.6","12.82","12.33","11.93","13.69"
"Barbados","BRB","9.35","9.85","10.32","11","9.5699996948242","9.079999923706","8.7299995422363","7.4099998474121","8.1199998855591","10.02","10.69","11.189999580383","11.590000152588","11.55","12.17","9.8","8.25","8.62","8.32","8.41",""
"Brunei Darussalam","BRN","","","","","","","","","","","","","","","6.97","","","9.32","8.7","6.92",""
"Bhutan","BTN","","1.9","","1.8","2.49","3.1","3.13","3.7","","3.96","3.32","3.23","2.05","2.87","2.63","2.45","","","","",""
"Botswana","BWA","15.88","18.54","","23.8","","","17.78","","","16.17","17.86","","","","","","","","","22.61",""
"Central African Republic","CAF","","","","","","","","","","","","","","","","","","","","",""
"Canada","CAN","6.83","7.22","7.66","7.57","7.19","6.76","6.32","6.04","6.14","8.34","8.06","7.51","7.29","7.07","6.91","6.91","7","6.34","5.83","5.66","9.46"
"Central Europe and the Baltics","CEB","12.433652014382","13.226537440085","13.741751447489","12.957194047832","12.934169021415","12.055867947514","10.104745536646","7.8079195530792","6.6060636194688","8.4899085530733","9.9013246756031","9.7895013403458","9.9771938676734","10.04678070942","8.9497725563513","7.8140619760167","6.4859593091227","5.2950273822431","4.3149514358441","3.779593494549","4.3673260907436"
"Switzerland","CHE","2.67","2.49","2.92","4.12","4.32","4.44","4","3.65","3.35","4.12","4.8","4.4","4.48","4.75","4.83","4.8","4.92","4.8","4.71","4.39","4.82"
"Channel Islands","CHI","","","","","","","","","","","","","","","","","","","","",""
"Chile","CHL","10.49","10.39","10.17","9.77","10.16","9.34","9.02","8.43","9.29","11.31","8.42","7.34","6.66","6.21","6.66","6.51","6.74","6.96","7.23","7.29","11.18"
"China","CHN","3.1","3.6","4","4.3","4.2","4.2","4.1","4","4.2","4.3","4.1","4.1","4.1","4.05","4.1","","","3.9","3.8","5.15",""
"Cote d'Ivoire","CIV","","","","","","","","","","","","","7.22","4.25","","","2.6","3.27","","",""
"Cameroon","CMR","","7.46","","","","4.4","","3.06","","","4.11","","","","3.53","","","","","",""
"Congo, Dem. Rep.","COD","","","","","","2.85","","","","","","","4.49","","","","","","","",""
"Congo, Rep.","COG","","","","","","19.8","","","","19.86","","","10","","","","","","","",""
"Colombia","COL","20.52","15.04","14.48","13.22","12.74","11.06","11.29","10.25","10.49","11.29","10.98","10.11","9.74","9.05","8.57","8.3","8.69","8.87","9.11","9.96","15.04"
"Comoros","COM","","","","","4.57","","","","","","","","","","8.14","","","","","",""
"Cabo Verde","CPV","","","","","","","","","","","10.67","","","","","31.31","","12.24","12.17","11.29",""
"Costa Rica","CRI","5.08","5.92","6.33","6.56","6.39","6.57","5.74","4.49","4.78","7.71","7.17","10.14","9.78","8.77","9.06","9","8.6","8.14","9.63","11.49","17.41"
"Caribbean small states","CSS","14.126821765645","12.854034955986","12.516243174219","11.6135184161","10.973461321074","10.373123350134","9.2280539803542","8.4177593776126","8.827739664369","9.8707607939274","9.4362345281546","10.262304280387","10.975879088043","11.423851874117","10.107191932732","9.7389956703761","9.8076577101662","","","",""
"Cuba","CUB","5.45","4.08","3.31","2.33","1.85","1.95","1.91","1.79","1.58","1.67","2.5","3.18","3.46","3.29","2.7","2.4","2","1.7","1.7","",""
"Curacao","CUW","","","","","","","","","","","","9.78","","13.03","12.61","11.71","","","13.43","",""
"Cayman Islands","CYM","","7.54","5.37","3.61","3.45","3.54","2.62","3.83","3.97","6.04","6.68","6.78","6.21","6.27","4.7","4.24","","","","",""
"Cyprus","CYP","4.97","3.98","3.3","4.14","4.33","5.3","4.54","3.92","3.65","5.36","6.26","7.86","11.8","15.87","16.09","14.91","12.95","11.05","8.37","7.07","7.59"
"Czech Republic","CZE","8.76","7.99","7.02","7.54","8.21","7.93","7.15","5.32","4.39","6.66","7.28","6.71","6.98","6.95","6.11","5.05","3.95","2.89","2.24","2.01","2.55"
"Germany","DEU","7.92","7.77","8.48","9.78","10.73","11.17","10.25","8.66","7.52","7.74","6.97","5.82","5.38","5.23","4.98","4.62","4.12","3.75","3.38","3.14","3.81"
"Djibouti","DJI","","","","","","","","","","","","","","","","","","26.06","","",""
"Dominica","DMA","","10.96","","","","","","","","","","","","","","","","","","",""
"Denmark","DNK","4.48","4.16","4.27","5.4","5.2","4.83","3.9","3.8","3.68","6.41","7.75","7.77","7.8","7.38","6.93","6.28","5.99","5.83","5.13","5.02","5.64"
"Dominican Republic","DOM","6.43","7.26","6.78","6.94","6.3","6.59","5.65","5.16","4.76","5.47","5.21","6.09","6.72","7.35","6.72","7.61","7.28","5.83","5.86","6.36",""
"Algeria","DZA","29.77","27.3","25.9","23.72","17.65","15.27","12.27","13.79","11.33","10.16","9.96","9.96","10.97","9.82","10.21","11.21","10.2","13.57","","",""
"East Asia & Pacific (excluding high income)","EAP","3.5938112616443","3.7734076943128","4.0996880683041","4.3158034197137","4.3165237693869","4.4570800667893","4.3496850398245","4.1897220201053","4.3717430773731","4.2190032311846","3.9283459318836","3.8714100838109","3.7992046710602","3.7449180015272","3.7585471216378","","","3.5679694860348","3.4991118163889","4.402863736905",""
"Early-demographic dividend","EAR","5.4696974481857","","","","","5.2383685401176","","","","","4.5513311843459","","4.7983871072629","","","","","","5.9245774466876","6.0637780697918",""
"East Asia & Pacific","EAS","3.7019263844846","3.8912624426272","4.2086438074908","4.3921378892108","4.342700103241","4.4387193990722","4.3098009151183","4.1448040515058","4.3090472868279","4.2926635679321","4.013975509594","3.9097446999659","3.8283267160403","3.7640845792795","3.7634361309839","","","3.5545553331247","3.4669688157469","4.2684334262946",""
"Europe & Central Asia (excluding high income)","ECA","9.461604555359","8.8273711579584","8.5852881108396","8.3915249445763","8.1523248967057","7.623018788989","7.3783944206201","7.0378763398207","7.1667192004279","9.0141186470406","8.471172227435","7.6824499766192","7.0728078934563","7.1045669845526","7.3069868993045","7.4555268031797","7.5495965193584","7.2982441476834","7.2131222146164","7.4017064393641","7.7692298886046"
"Europe & Central Asia","ECS","9.262178155315","8.5737834528768","8.6452135364489","8.6810715847697","8.678309317398","8.3337644336447","7.7867296413971","7.061794104016","7.0397943470613","8.9342923989849","9.0445992423328","8.7121176777837","8.9242095269509","9.1594842378104","8.9144927329916","8.5201254209033","8.1008132759683","7.4948483560785","7.0126216763672","6.7899295265274","7.3478548867333"
"Ecuador","ECU","4.8","4.25","","5.66","5","3.78","3.55","3.14","3.92","4.61","4.09","3.46","3.23","3.08","3.48","3.62","4.6","3.84","3.53","3.81","6.11"
"Egypt, Arab Rep.","EGY","8.98","9.26","10.01","11.01","10.32","11.2","10.49","8.8","8.52","9.09","8.76","11.85","12.6","13.15","13.1","13.05","12.41","11.74","9.82","7.84",""
"Euro area","EMU","9.4259731240771","8.3479913143454","8.6143193231306","8.9595130304377","9.2466551602085","9.0205748148862","8.3127215839548","7.4364739272807","7.4815967973342","9.537984198972","10.070558098933","10.109820187632","11.288868365146","11.927231433383","11.603609560569","10.837927392159","10.025244978533","9.0632604471562","8.1790390900474","7.5469483389517","7.840194615782"
"Eritrea","ERI","","","","","","","","","","","","","","","","","","","","",""
"Spain","ESP","13.79","10.35","11.15","11.28","11.09","9.15","8.45","8.23","11.25","17.86","19.86","21.39","24.79","26.09","24.44","22.06","19.63","17.22","15.25","14.1","15.53"
"Estonia","EST","13.36","13.13","10.03","11.29","10.25","8.03","5.91","4.59","5.45","13.55","16.71","12.33","10.02","8.63","7.35","6.19","6.76","5.76","5.37","4.45","6.8"
"Ethiopia","ETH","","","","","","2.5","","","","","","","","2.25","","","","","","",""
"European Union","EUU","9.8249295582753","9.1958068949745","9.540629496595","9.6469515773491","9.8823986849682","9.5703570673213","8.6257200593934","7.4489286426667","7.2022780346924","9.1240581806819","9.800563318949","9.838452799399","10.807122614272","11.328485497488","10.847778129362","10.024506159984","9.1215105783511","8.1401431887748","7.2662298633654","6.6939426241482","7.050008575362"
"Fragile and conflict affected situations","FCS","","","","","","","","","","","","","","","","","","","","",""
"Finland","FIN","11.13","10.29","10.42","10.47","10.36","8.38","7.72","6.85","6.37","8.25","8.39","7.78","7.69","8.19","8.66","9.38","8.82","8.64","7.36","6.69","7.76"
"Fiji","FJI","","","","8.22","4.7","3.89","","","8.94","8.72","8.91","4.41","9","","6.17","","4.32","","","",""
"France","FRA","10.22","8.61","8.7","8.31","8.91","8.49","8.45","7.66","7.06","8.74","8.87","8.81","9.4","9.92","10.29","10.35","10.05","9.41","9.02","8.41","8.01"
"Faroe Islands","FRO","4.17","4","","3.85","3.7","","","","","","","","","","","","","","","",""
"Micronesia, Fed. Sts.","FSM","","","","","","","","","","","","","","","8.86","","","","","",""
"Gabon","GAB","","","","","","16.91","","","","","20.39","","","","","","","","","",""
"United Kingdom","GBR","5.56","4.7","5.04","4.81","4.59","4.75","5.35","5.26","5.62","7.54","7.79","8.04","7.88","7.52","6.11","5.3","4.81","4.33","4","3.74",""
"Georgia","GEO","10.82","11.16","12.59","11.51","12.62","13.81","13.57","13.28","17.87","20.71","20.2","19.63","19.65","19.42","17.44","16.51","16.6","13.94","12.67","11.57","18.5"
"Ghana","GHA","10.46","","","","","","4.64","","","","5.38","","","2.17","","6.81","","4.22","","",""
"Gibraltar","GIB","","","","","","","","","","","","","","","","","","","","",""
"Guinea","GIN","","","4.55","","","","","","","","","","","","","","","","","5.02",""
"Gambia, The","GMB","","","","","","","","","","","","","9.42","","","","","","10.16","",""
"Guinea-Bissau","GNB","","","","","","","","","","","","","","","","","","","","",""
"Equatorial Guinea","GNQ","","","","","","","","","","","","","","","","","","","","",""
"Greece","GRC","11.25","10.46","9.97","9.41","10.31","9.99","9.01","8.4","7.76","9.62","12.71","17.86","24.44","27.47","26.49","24.9","23.54","21.49","19.29","17.31","16.3"
"Grenada","GRD","","","","","","","","","","","","","","24.2","24.5","22.9","","","","",""
"Greenland","GRL","11.02","9.53","8.82","10.3","10.44","9.25","8.4","","","","7.8","9.4","9.8","10.1","10.3","9.1","","","","",""
"Guatemala","GTM","","","","2.81","2.97","","1.9","","","","3.5","4.13","2.76","3.02","2.72","2.51","2.58","2.46","2.28","2.19",""
"Guam","GUM","15.32","13.21","11.39","","7.7","7","7.4","8.3","","9.3","8.2","13.3","12.2","11.5","7.6","6.9","5.4","","","",""
"Guyana","GUY","","","11.81","","","","10.7","","","","","","","","","","","","14.02","",""
"High income","HIC","6.5262290926517","6.5248447089994","7.0372348114998","7.182186992483","6.998238200613","6.6839143982452","6.1466989903946","5.6294712210011","5.8915270483484","8.035828589974","8.2877308664961","7.9752970765123","8.014088318337","7.9334176426329","7.3033893467586","6.6969356925931","6.1560841693108","5.6305360338105","5.1400574313557","4.7858319393768","6.7168138645742"
"Hong Kong SAR, China","HKG","4.92","5.09","7.28","7.86","6.74","5.58","4.77","4.01","3.56","5.26","4.33","3.42","3.29","3.4","3.3","3.31","3.39","3.13","2.82","2.93","5.83"
"Honduras","HND","","4","4.02","5.3","5.99","4.91","3.57","3.21","3.16","3.29","4.12","4.47","3.75","5.65","7.08","6.15","6.73","5.53","5.65","5.7",""
"Heavily indebted poor countries (HIPC)","HPC","","","","","","","","","","","","","","","","","","","","",""
"Croatia","HRV","16.06","15.82","15.05","13.92","13.66","12.6","11.13","9.91","8.53","9.2","11.62","13.68","15.93","17.25","17.29","16.18","13.1","11.21","8.43","6.62","7.51"
"Haiti","HTI","","","","","","","","16.8","","","","","14.1","","","","","","","",""
"Hungary","HUN","6.56","5.67","5.61","5.79","5.83","7.19","7.49","7.41","7.82","10.03","11.17","11.03","11","10.18","7.73","6.81","5.11","4.16","3.71","3.42","4.25"
"IBRD only","IBD","5.1380066428986","6.0631839872071","6.4903734718568","6.4263087656503","6.3566532607658","5.4123705706313","5.9945664069766","5.6292228046409","5.6050312822612","5.891405041211","4.7817884375654","5.4534332573463","4.7834013723441","5.2956482811327","5.3106798624368","","","5.5870854719709","5.3439479761565","5.8019225025719",""
"IDA & IBRD total","IBT","5.1475326712216","","","","","5.3228559252199","","","","","4.6830378071953","","4.7786766645961","5.0053028875332","","","","","5.3076477494171","5.9214693521478",""
"IDA total","IDA","","","","","","","","","","","","","","","","","","","","",""
"IDA blend","IDB","","","","","","","","","","","","2.6589051295511","","3.4993356254448","3.3665755115317","4.0772129158265","","","","",""
"Indonesia","IDN","6.08","6.08","6.6","6.66","7.3","7.94","7.55","8.06","7.21","6.11","5.61","5.15","4.47","4.34","4.05","4.51","4.3","3.88","4.4","3.62","4.28"
"IDA only","IDX","","","","","","","","","","","","","","","","","","","","",""
"Isle of Man","IMN","0.6","1.6","0.5","0.8","1","1.4","2.42","1.4","1.4","","","3.3","","2.6","1.98","","2.67","","","",""
"India","IND","2.73","","","","","2.42","","","","","2.44","","2.69","","","","","","5.33","5.27",""
"Not classified","INX","","","","","","","","","","","","","","","","","","","","",""
"Ireland","IRL","4.32","3.68","4.22","4.48","4.49","4.34","4.41","4.98","6.77","12.61","14.53","15.35","15.45","13.73","11.86","9.91","8.37","6.71","5.74","4.95","5.62"
"Iran, Islamic Rep.","IRN","","","12.8","","10.3","12.1","11.2","10.6","10.48","11.97","13.52","12.449999809265","12.630000114441","10.44","10.57","11.06","12.66","12.23","12.19","10.74",""
"Iraq","IRQ","","","","","","","","8.65","","","","","7.96","","10.59","","10.82","13.02","","",""
"Iceland","ISL","1.94","1.87","2.99","4","4.03","2.55","2.83","2.25","2.95","7.22","7.56","7.03","6","5.38","4.9","3.98","2.98","2.74","2.7","3.51","5.48"
"Israel","ISR","11.1","11.81","12.89","13.51","13.03","11.34","10.71","9.38","7.7","9.53","8.48","7.14","6.86","6.21","5.89","5.25","4.8","4.22","4","3.8",""
"Italy","ITA","10.84","9.6","9.21","8.87","7.87","7.73","6.78","6.08","6.72","7.75","8.36","8.36","10.65","12.15","12.68","11.9","11.69","11.21","10.61","9.95","9.16"
"Jamaica","JAM","15.54","14.93","14.19","11.73","12.21","11.26","10.32","9.75","10.59","11.36","12.37","12.7","13.93","15.25","13.74","13.51","13.19","11.63","9.1","7.72",""
"Jordan","JOR","13.7","14.7","15.3","14.5","","14.8","14","13.1","12.7","12.9","12.5","12.9","12.2","12.6","11.9","13.08","15.28","18.14","18.27","16.81",""
"Japan","JPN","4.7","5","5.4","5.3","4.7","4.4","4.1","3.9","4","5.1","5.1","4.52","4.3","4","3.6","3.4","3.1","2.8","2.4","2.4","2.8"
"Kazakhstan","KAZ","12.75","10.43","9.33","8.78","8.4","8.13","7.79","7.26","6.63","6.55","5.77","5.39","5.29","5.2","5.06","4.93","4.96","4.9","4.85","4.8","4.89"
"Kenya","KEN","","","","","","","9.96","","","9.6","","","","","","","2.76","","","5.01",""
"Kyrgyz Republic","KGZ","7.54","7.84","12.55","9.92","8.53","8.11","8.27","8.1","8.22","8.41","8.64","8.53","8.43","8.33","8.05","7.56","7.21","6.89","4.54","",""
"Cambodia","KHM","2.76","2.06","","","7.53","","","1.26","0.82","0.58","0.77","0.58","1.28","0.44","0.69","0.39","0.72","0.14","","",""
"Kiribati","KIR","","","","","","14.65","","","","","30.58","","","","","9.33","","","","8.6",""
"St. Kitts and Nevis","KNA","","5.12","","","","","","","","","","","","","","","","","","",""
"Korea, Rep.","KOR","4.06","3.7","3.05","3.35","3.42","3.48","3.25","3.01","2.96","3.36","3.32","2.99","2.81","2.75","3.08","3.55","3.65","3.65","3.82","3.75","3.93"
"Kuwait","KWT","0.8","0.8","1.1","1.3","1.7","1.95","1.3","1.5","1.75","1.64","1.82","","","","2.9","2.2","2.16","","","",""
"Latin America & Caribbean (excluding high income)","LAC","","8.7007842625737","8.7921422683286","8.4160495023184","7.8527165738819","7.7030756733997","6.9796701037431","6.8237195436347","6.2326110987843","7.2943918360115","","6.255349602531","6.3385026999557","6.1202649940402","5.9106685793578","6.4236736772128","7.7342448640555","8.0703457426851","7.9383102602694","8.1149764105618","10.610285467936"
"Lao PDR","LAO","","","","","","1.35","","","","","0.71","","","","","","","9.41","","",""
"Lebanon","LBN","","","","","7.85","","","8.98","","6.35","","","","","","","","","","11.35",""
"Liberia","LBR","","","","","","","","","","","2.27","","19.52","","2.08","2.08","3.08","","","",""
"Libya","LBY","","","","","","","","","","","","","19.03","","","","","","","",""
